nhm_id,time,min,max,mean,median,sum,area
84675,2016-07-01,51.0,151.0,112.337,113.0,151535.6,248.609
84675,2016-08-01,56.0,122.0,94.275,95.0,127170.682,248.609
84675,2016-09-01,23.0,86.0,48.548,47.0,65487.733,248.609
84675,2016-10-01,20.0,66.0,40.309,39.0,54374.4,248.609
84675,2016-11-01,7.0,27.0,19.351,20.0,26102.988,248.609
84675,2016-12-01,2.0,23.0,12.666,13.0,17086.231,248.609
84676,2016-01-01,1.511,19.511,7.745,7.0,14052.663,672.438
84676,2016-02-01,1.022,27.043,15.212,16.022,27595.9,672.438
84676,2016-03-01,3.575,49.64,24.16,23.532,43849.055,672.438
84676,2016-04-01,0.489,70.362,36.434,36.064,66131.599,672.254
84676,2016-05-01,10.086,122.597,72.437,69.194,131469.699,672.438
84676,2016-06-01,46.381,175.575,112.502,107.453,204263.941,672.438
84676,2016-07-01,49.058,179.468,122.491,122.108,222144.329,672.438
84676,2016-08-01,40.892,150.129,92.14,89.877,167345.381,672.438
84676,2016-09-01,15.554,132.575,59.783,54.963,108666.27,672.438
84676,2016-10-01,12.468,96.705,43.528,39.323,79161.197,672.438
84676,2016-11-01,5.0,36.511,16.035,14.575,29129.742,672.438
84676,2016-12-01,1.468,21.532,9.519,8.957,17223.552,672.438
84678,2016-01-01,1.0,2.0,1.889,2.0,153.0,14.862
84678,2016-02-01,0.0,2.0,0.235,0.0,19.0,14.862
84678,2016-03-01,5.0,9.0,6.136,6.0,497.0,14.862
84678,2016-04-01,21.0,30.0,24.79,25.0,2008.0,14.862
84678,2016-05-01,58.0,71.0,65.457,65.0,5302.0,14.862
84678,2016-06-01,116.0,128.0,124.963,126.0,10122.0,14.862
84678,2016-07-01,84.0,117.0,99.543,98.0,8063.0,14.862
84678,2016-08-01,63.0,83.0,73.272,77.0,5935.0,14.862
84678,2016-09-01,51.0,72.0,61.074,60.0,4947.0,14.862
84678,2016-10-01,42.0,55.0,49.543,50.0,4013.0,14.862
84678,2016-11-01,11.0,20.0,14.494,14.0,1174.0,14.862
84678,2016-12-01,3.0,8.0,5.025,5.0,407.0,14.862
84682,2016-01-01,0.0,10.0,3.779,3.0,3619.259,181.274
84682,2016-02-01,0.0,22.0,8.555,9.0,8193.596,181.274
